# tier	triple	execution evidence	CI owner
#
# Tier 1 is the supported 1.0 target contract: all execution tiers run on
# native CI. Tier 2 is supported only for Linux release AOT cross output that
# is executed under QEMU and compared to the bytecode VM. `artifact` and
# `registered` rows deliberately are not supported targets.
tier1	x86_64-unknown-linux-gnu	native VM/JIT/AOT	ci:test-native-ubuntu-latest
tier1	aarch64-unknown-linux-gnu	native VM/JIT/AOT	ci:test-native-ubuntu-24.04-arm
tier1	aarch64-apple-darwin	native VM/JIT/AOT	ci:test-native-macos-latest
tier1	x86_64-pc-windows-msvc	native VM/JIT/AOT	ci:test-native-windows-latest
tier2	x86_64-unknown-linux-musl	AOT under native/QEMU VM differential	ci:cross-from-macos-windows-and-qemu
tier2	aarch64-unknown-linux-musl	AOT under QEMU VM differential	ci:cross-from-linux-macos-windows-and-qemu
artifact	x86_64-apple-darwin	release artifact build only	ci:release-build-macos-x86_64
registered	riscv64gc-unknown-linux-gnu	compile-check only	ci:cross-targets
registered	wasm32-unknown-unknown	platform-agnostic crate check only	ci:cross-targets
registered	wasm32-wasi	platform-agnostic crate check only	ci:cross-targets
